x                 wf_exact_0        wf_0_b=0.9,dim=1
 8.40160000e+00    4.49015648e-04    2.00198547e-14   -5.37726821e-14    1.09353467e-13   -1.27907913e-13    1.89069528e-13
 8.50150000e+00    4.06326790e-04    7.78571431e-15   -2.08865431e-14    4.25397966e-14   -4.97885399e-14    7.37552033e-14
 8.60140000e+00    3.67696452e-04    2.98714061e-15   -8.00402718e-15    1.63256465e-14   -1.91188344e-14    2.83810767e-14
 8.70130000e+00    3.32738780e-04    1.13069587e-15   -3.02621799e-15    6.18117896e-15   -7.24282555e-15    1.07732429e-14
 8.80120000e+00    3.01104608e-04    4.22261670e-16   -1.12889518e-15    2.30893381e-15   -2.70696838e-15    4.03423328e-15
 8.90110000e+00    2.72477962e-04    1.55587800e-16   -4.15508993e-16    8.50949236e-16   -9.98160252e-16    1.49034722e-15
 9.00100000e+00    2.46572912e-04    5.65638935e-17   -1.50900913e-16    3.09428351e-16   -3.63138375e-16    5.43175428e-16
 9.10090000e+00    2.23130709e-04    2.02901080e-17   -5.40752790e-17    1.11017809e-16   -1.30350036e-16    1.95313683e-16
 9.20080000e+00    2.01917205e-04    7.18160889e-18   -1.91210432e-17    3.93018211e-17   -4.61667366e-17    6.92912313e-17
 9.30070000e+00    1.82720514e-04    2.50819963e-18   -6.67175976e-18    1.37287542e-17   -1.61338356e-17    2.42543456e-17
 9.40060000e+00    1.65348892e-04    8.64401809e-19   -2.29717967e-18    4.73215087e-18   -5.56349248e-18    8.37680961e-18
 9.50050000e+00    1.49628827e-04    2.93962790e-19   -7.80521175e-19    1.60955275e-18   -1.89308187e-18    2.85467834e-18
 9.60040000e+00    1.35403301e-04    9.86510586e-20   -2.61709013e-19    5.40232684e-19   -6.35643344e-19    9.59922948e-19
 9.70030000e+00    1.22530226e-04    3.26702968e-20   -8.65975752e-20    1.78934872e-19   -2.10615176e-19    3.18512889e-19
 9.80020000e+00    1.10881020e-04    1.06771487e-20   -2.82783692e-20    5.84866527e-20   -6.88663966e-20    1.04289234e-19
 9.90010000e+00    1.00339330e-04    3.44363433e-21   -9.11323989e-21    1.88657921e-20   -2.22216217e-20    3.36964205e-20
 1.00000000e+01    9.07998595e-05    1.09609110e-21   -2.89847149e-21    6.00562717e-21   -7.07625825e-21    1.07440874e-20


x                 wf_exact_0        wf_0_b=0.9,dim=10   wf_1_b=0.9,dim=10   wf_2_b=0.9,dim=10   wf_3_b=0.9,dim=10   wf_4_b=0.9,dim=10   wf_5_b=0.9,dim=10   wf_6_b=0.9,dim=10   wf_7_b=0.9,dim=10   wf_8_b=0.9,dim=10   wf_9_b=0.9,dim=10
 1.00000000e-02    1.98009967e+00    1.62523089e+00    1.19746620e+00   -1.35520254e+00    1.94337915e+00   -1.83029400e+00    2.68870286e+00   -2.32915987e+00    3.64532578e+00    2.88722474e+00   -5.38226687e+00
 1.09900000e-01    1.79184745e+00    1.60097737e+00    1.17181405e+00   -1.33782553e+00    1.88480834e+00   -1.79559939e+00    2.57494962e+00   -2.25492947e+00    3.42642298e+00    2.73273632e+00   -4.91183086e+00
 2.09800000e-01    1.62149276e+00    1.53925775e+00    1.10750976e+00   -1.29143324e+00    1.73822496e+00   -1.70277470e+00    2.29069959e+00   -2.06030238e+00    2.88478427e+00    2.34038420e+00   -3.77591994e+00
 3.09700000e-01    1.46733405e+00    1.44748587e+00    1.01458129e+00   -1.21635684e+00    1.52706521e+00   -1.55213164e+00    1.88282427e+00   -1.75570690e+00    2.12398832e+00    1.76223287e+00   -2.26122394e+00
 4.09600000e-01    1.32783153e+00    1.33591336e+00    9.06162177e-01   -1.11439672e+00    1.28189061e+00   -1.34722043e+00    1.41328089e+00   -1.36156096e+00    1.28133428e+00    1.07794786e+00   -7.32457431e-01
 5.09500000e-01    1.20159180e+00    1.21558714e+00    7.95130929e-01   -9.89855553e-01    1.03246039e+00   -1.09740935e+00    9.43967876e-01   -9.10421974e-01    4.94132319e-01    3.85661107e-01    4.75347461e-01
 6.09400000e-01    1.08735395e+00    1.09635456e+00    6.91218606e-01   -8.49879098e-01    8.01023147e-01   -8.18928266e-01    5.23587249e-01   -4.46051238e-01   -1.30653352e-01   -2.12696671e-01    1.14926421e+00
 7.09300000e-01    9.83976938e-01    9.85396566e-01    5.99441571e-01   -7.03741483e-01    5.98861031e-01   -5.33479640e-01    1.80302725e-01   -1.82419448e-02   -5.35083377e-01   -6.30252810e-01    1.24678456e+00
 8.09200000e-01    8.90428190e-01    8.86580452e-01    5.20182627e-01   -5.61185755e-01    4.26788115e-01   -2.64578453e-01   -7.84047377e-02    3.25877045e-01   -7.13509880e-01   -8.14263379e-01    8.87708018e-01
 9.09100000e-01    8.05773318e-01    8.00666967e-01    4.50638893e-01   -4.30372829e-01    2.78822542e-01   -3.27970854e-02   -2.59958627e-01    5.51627416e-01   -7.02074630e-01   -7.59744391e-01    2.97103172e-01
 1.00900000e+00    7.29166761e-01    7.26168342e-01    3.86915831e-01   -3.16198607e-01    1.47209710e-01    1.48392993e-01   -3.78167089e-01    6.44439654e-01   -5.60199213e-01   -5.12412725e-01   -2.77399536e-01
 1.10890000e+00    6.59843351e-01    6.60506436e-01    3.25925622e-01   -2.19615782e-01    2.67375996e-02    2.74697978e-01   -4.45612479e-01    6.12696580e-01   -3.51318929e-01   -1.58415489e-01   -6.44359969e-01
 1.20880000e+00    5.97110662e-01    6.01098555e-01    2.66456437e-01   -1.38200543e-01   -8.31340390e-02    3.50337697e-01   -4.69606678e-01    4.84712532e-01   -1.28783777e-01    1.97448267e-01   -7.18214916e-01
 1.30870000e+00    5.40342101e-01    5.46092138e-01    2.09196702e-01   -6.77122870e-02   -1.78733326e-01    3.85053430e-01   -4.52478531e-01    3.00854693e-01    7.03644967e-02    4.59187636e-01   -5.27526620e-01
 1.40860000e+00    4.88970646e-01    4.94631275e-01    1.55934820e-01   -4.02013788e-03   -2.54544972e-01    3.90055474e-01   -3.95045217e-01    1.03440821e-01    2.24576768e-01    5.64601723e-01   -1.84971972e-01
 1.50850000e+00    4.42483183e-01    4.46705207e-01    1.08435629e-01    5.53335251e-02   -3.06154284e-01    3.74471975e-01   -3.00960639e-01   -7.23851025e-02    3.23197788e-01    5.00109097e-01    1.65244362e-01
 1.60840000e+00    4.00415381e-01    4.02746492e-01    6.75310687e-02    1.10466623e-01   -3.32413787e-01    3.43508529e-01   -1.79605143e-01   -2.04249235e-01    3.61854011e-01    3.00978331e-01    4.01477405e-01
 1.70830000e+00    3.62347052e-01    3.63185577e-01    3.27767776e-02    1.59527825e-01   -3.36015441e-01    2.98725572e-01   -4.61409100e-02   -2.83584592e-01    3.40349474e-01    3.73174520e-02    4.61840720e-01
 1.80820000e+00    3.27897959e-01    3.28131321e-01    2.72833026e-03    1.99827728e-01   -3.22442875e-01    2.39955727e-01    8.12273462e-02   -3.12787847e-01    2.63450189e-01   -2.09209240e-01    3.54795771e-01
 1.90810000e+00    2.96724014e-01    2.97261706e-01   -2.43797933e-02    2.29188481e-01   -2.97961830e-01    1.67785664e-01    1.85529277e-01   -3.00393778e-01    1.43026413e-01   -3.70206945e-01    1.44097317e-01
 2.00800000e+00    2.68513840e-01    2.69914405e-01   -4.99056168e-02    2.46946730e-01   -2.67615479e-01    8.54307050e-02    2.55048811e-01   -2.56476489e-01   -8.03394353e-04   -4.09175680e-01   -8.23308201e-02
 2.10790000e+00    2.42985667e-01    2.45297577e-01   -7.43413196e-02    2.54249234e-01   -2.34051523e-01   -7.80238296e-04    2.85567997e-01   -1.89894031e-01   -1.41371315e-01   -3.28767077e-01   -2.46182841e-01
 2.20780000e+00    2.19884511e-01    2.22715764e-01   -9.72830356e-02    2.53604521e-01   -1.97543879e-01   -8.24302019e-02    2.80180459e-01   -1.07864456e-01   -2.50377714e-01   -1.65581649e-01   -3.03294242e-01
 2.30770000e+00    1.98979630e-01    2.01723422e-01   -1.17783616e-01    2.47953642e-01   -1.57023793e-01   -1.51037254e-01    2.47038150e-01   -1.72338188e-02   -3.04747469e-01    2.45357856e-02   -2.52308887e-01
 2.40760000e+00    1.80062220e-01    1.82163772e-01   -1.34889623e-01    2.39681437e-01   -1.11542192e-01   -2.00208348e-01    1.96129865e-01    7.38661508e-02   -2.93071237e-01    1.85094276e-01   -1.27514532e-01
 2.50750000e+00    1.62943328e-01    1.64101123e-01   -1.48115461e-01    2.29961799e-01   -6.14859927e-02   -2.27090131e-01    1.36385388e-01    1.55262099e-01   -2.19234679e-01    2.75317852e-01    1.87776726e-02
 2.60740000e+00    1.47451965e-01    1.47691637e-01   -1.57667700e-01    2.18651518e-01   -9.06259912e-03   -2.32640207e-01    7.40567569e-02    2.15588079e-01   -1.01791294e-01    2.79650307e-01    1.36460510e-01
 2.70730000e+00    1.33433398e-01    1.33050350e-01   -1.64359913e-01    2.04707989e-01    4.20719642e-02   -2.20740908e-01    1.26667975e-02    2.44598352e-01    3.08584108e-02    2.08553380e-01    1.93298844e-01
 2.80720000e+00    1.20747605e-01    1.20161980e-01   -1.69290610e-01    1.86907977e-01    8.78057139e-02   -1.96604158e-01   -4.58528843e-02    2.36085407e-01    1.47980694e-01    9.16860456e-02    1.81831103e-01
 2.90710000e+00    1.09267878e-01    1.08858146e-01   -1.73440691e-01    1.64558390e-01    1.24732468e-01   -1.65116249e-01   -9.96216343e-02    1.90237597e-01    2.24380482e-01   -3.33161690e-02    1.17043958e-01
 3.00700000e+00    9.88795517e-02    9.88560871e-02   -1.77356715e-01    1.37932400e-01    1.51021752e-01   -1.29701536e-01   -1.45685158e-01    1.14457848e-01    2.46316148e-01   -1.32465609e-01    2.74591934e-02
 3.10690000e+00    8.94788657e-02    8.98338782e-02   -1.81030474e-01    1.08300312e-01    1.66704927e-01   -9.20102841e-02   -1.79824795e-01    2.22261010e-02    2.13923099e-01   -1.84038493e-01   -5.61733766e-02
 3.20680000e+00    8.09719226e-02    8.15097950e-02   -1.83995919e-01    7.75892986e-02    1.73340275e-01   -5.23909565e-02   -1.97356976e-01   -6.97246382e-02    1.39803433e-01   -1.82280550e-01   -1.10539665e-01
 3.30670000e+00    7.32737524e-02    7.36985483e-02   -1.85581076e-01    4.78347114e-02    1.73250524e-01   -1.08289276e-02   -1.94557847e-01   -1.45099190e-01    4.45953000e-02   -1.36088789e-01   -1.25164484e-01
 3.40660000e+00    6.63074633e-02    6.63301111e-02   -1.85205070e-01    2.06371574e-02    1.68651680e-01    3.20879032e-02   -1.70120674e-01   -1.91545226e-01   -4.89095624e-02   -6.40176079e-02   -1.02858082e-01
 3.50650000e+00    6.00034739e-02    5.94317520e-02   -1.82610166e-01   -3.19166979e-03    1.60984159e-01    7.45626919e-02   -1.26075708e-01   -2.03045154e-01   -1.21353373e-01    1.22817246e-02   -5.61916362e-02
