terms      sum_up           sum_down         rel_diff      
  830944   1.41961336e+01   1.42076149e+01   8.08434503e-04
  838720   1.42035494e+01   1.42167883e+01   9.31650226e-04
  846496   1.42109652e+01   1.42260666e+01   1.06209633e-03
  854272   1.42183809e+01   1.42352715e+01   1.18723081e-03
  862048   1.42257967e+01   1.42443266e+01   1.30170793e-03
  869824   1.42332125e+01   1.42532654e+01   1.40788977e-03
  877600   1.42406282e+01   1.42622118e+01   1.51448464e-03
  885376   1.42480440e+01   1.42708998e+01   1.60284748e-03
  893152   1.42554598e+01   1.42798090e+01   1.70660473e-03
  900928   1.42628756e+01   1.42884359e+01   1.79048721e-03
  908704   1.42702913e+01   1.42970190e+01   1.87120703e-03
  916480   1.42777071e+01   1.43053961e+01   1.93743699e-03
  924256   1.42851229e+01   1.43140421e+01   2.02238210e-03
  932032   1.42925386e+01   1.43224516e+01   2.09071883e-03
  939808   1.42999544e+01   1.43306389e+01   2.14347430e-03
  947584   1.43073702e+01   1.43388338e+01   2.19670450e-03
  955360   1.43147860e+01   1.43470392e+01   2.25060782e-03
  963136   1.43222017e+01   1.43551273e+01   2.29628128e-03
  970912   1.43296175e+01   1.43634672e+01   2.35943380e-03
  978688   1.43370333e+01   1.43711462e+01   2.37653032e-03
  986464   1.43444490e+01   1.43790636e+01   2.41019018e-03
  994240   1.43518648e+01   1.43868542e+01   2.43499759e-03
 1000000   1.43573580e+01   1.43926516e+01   2.45520473e-03
 1046656   1.44018526e+01   1.44383993e+01   2.53442349e-03
 1093312   1.44463472e+01   1.44819384e+01   2.46064528e-03
 1139968   1.44908419e+01   1.45235672e+01   2.25579878e-03
 1186624   1.45353365e+01   1.45637293e+01   1.95145723e-03
 1233280   1.45798311e+01   1.46027164e+01   1.56842533e-03
 1279936   1.46243258e+01   1.46395321e+01   1.03925716e-03
 1326592   1.46688204e+01   1.46753101e+01   4.42320394e-04
 1373248   1.47133150e+01   1.47101669e+01   2.13984124e-04
 1419904   1.47578096e+01   1.47434196e+01   9.75552015e-04
 1466560   1.48023043e+01   1.47758303e+01   1.79010606e-03
 1513216   1.48467989e+01   1.48070946e+01   2.67784880e-03
 1559872   1.48912935e+01   1.48374214e+01   3.62424739e-03
 1606528   1.49357882e+01   1.48664951e+01   4.65018209e-03
 1653184   1.49802828e+01   1.48950758e+01   5.70416497e-03
 1699840   1.50247774e+01   1.49234028e+01   6.77000219e-03
 1746496   1.50692720e+01   1.49500246e+01   7.94471893e-03
 1793152   1.51137667e+01   1.49767952e+01   9.10394918e-03
 1839808   1.51582613e+01   1.50025177e+01   1.03275580e-02
 1886464   1.52027559e+01   1.50274467e+01   1.15982806e-02
 1933120   1.52472506e+01   1.50514984e+01   1.29214674e-02
 1979776   1.52917452e+01   1.50762482e+01   1.41923781e-02
 2026432   1.53362398e+01   1.50988913e+01   1.55970119e-02
 2073088   1.53807344e+01   1.51213884e+01   1.70051120e-02
 2119744   1.54036827e+01   1.51437359e+01   1.70192327e-02
 2166400   1.54036827e+01   1.51661901e+01   1.55376876e-02
 2213056   1.54036827e+01   1.51876822e+01   1.41216684e-02
 2259712   1.54036827e+01   1.52072821e+01   1.28320456e-02
 2306368   1.54036827e+01   1.52282286e+01   1.14556439e-02
 2353024   1.54036827e+01   1.52480202e+01   1.01568606e-02
 2399680   1.54036827e+01   1.52694521e+01   8.75232462e-03
 2446336   1.54036827e+01   1.52874832e+01   7.57217873e-03
 2492992   1.54036827e+01   1.53060083e+01   6.36114320e-03
 2539648   1.54036827e+01   1.53237352e+01   5.20365685e-03
 2586304   1.54036827e+01   1.53424387e+01   3.98385292e-03
 2632960   1.54036827e+01   1.53617973e+01   2.72288127e-03
 2679616   1.54036827e+01   1.53801346e+01   1.52990292e-03
 2726272   1.54036827e+01   1.53957758e+01   5.13445004e-04
 2772928   1.54036827e+01   1.54120064e+01   5.40222856e-04
 2819584   1.54036827e+01   1.54281712e+01   1.58851617e-03
 2866240   1.54036827e+01   1.54451532e+01   2.68862839e-03
 2912896   1.54036827e+01   1.54624500e+01   3.80788348e-03
 2959552   1.54036827e+01   1.54788609e+01   4.86864988e-03
 3006208   1.54036827e+01   1.54939175e+01   5.84089104e-03
 3052864   1.54036827e+01   1.55093775e+01   6.83819549e-03
 3099520   1.54036827e+01   1.55236158e+01   7.75581039e-03
 3146176   1.54036827e+01   1.55376282e+01   8.65803473e-03
 3192832   1.54036827e+01   1.55535316e+01   9.68103483e-03
 3239488   1.54036827e+01   1.55693541e+01   1.06977792e-02
 3286144   1.54036827e+01   1.55829687e+01   1.15718218e-02
 3332800   1.54036827e+01   1.55955439e+01   1.23784477e-02
 3379456   1.54036827e+01   1.56089106e+01   1.32351303e-02
 3426112   1.54036827e+01   1.56240273e+01   1.42030809e-02
 3472768   1.54036827e+01   1.56384354e+01   1.51247829e-02
 3519424   1.54036827e+01   1.56521454e+01   1.60010345e-02
 3566080   1.54036827e+01   1.56644707e+01   1.67881213e-02
 3612736   1.54036827e+01   1.56779490e+01   1.76481232e-02
 3659392   1.54036827e+01   1.56910458e+01   1.84830725e-02
 3706048   1.54036827e+01   1.57038727e+01   1.93001330e-02
 3752704   1.54036827e+01   1.57150383e+01   2.00108215e-02
 3799360   1.54036827e+01   1.57259064e+01   2.07020827e-02
 3846016   1.54036827e+01   1.57373953e+01   2.14323066e-02
 3892672   1.54036827e+01   1.57498751e+01   2.22249012e-02
 3939328   1.54036827e+01   1.57614460e+01   2.29592044e-02
 3985984   1.54036827e+01   1.57734718e+01   2.37218011e-02
