# Spherical Bessel functions via up and down recursion
x        down          up            gsl           rel_up_down   rel_down_gsl  rel_up_gsl   
15.700000 -3.468633e-02 -3.468633e-02 -3.468633e-02  1.920451e-14  1.940456e-14  2.000470e-16
15.800000 -3.911442e-02 -3.911442e-02 -3.911442e-02  1.330499e-15  1.596599e-15  2.660998e-16
15.900000 -4.326946e-02 -4.326946e-02 -4.326946e-02  3.207294e-16  8.018235e-16  4.810941e-16
16.000000 -4.712975e-02 -4.712975e-02 -4.712975e-02  7.361480e-16  5.889184e-16  1.472296e-16
16.100000 -5.067506e-02 -5.067506e-02 -5.067506e-02  6.161813e-16  5.477167e-16  6.846459e-17
16.200000 -5.388681e-02 -5.388681e-02 -5.388681e-02  5.150718e-16  6.438398e-17  4.506879e-16
16.300000 -5.674819e-02 -5.674819e-02 -5.674819e-02  1.834127e-16  1.834127e-16  0.000000e+00
16.400000 -5.924431e-02 -5.924431e-02 -5.924431e-02  3.513702e-16  4.099319e-16  5.856169e-17
16.500000 -6.136230e-02 -6.136230e-02 -6.136230e-02  0.000000e+00  1.696211e-16  1.696211e-16
16.600000 -6.309146e-02 -6.309146e-02 -6.309146e-02  1.099815e-16  0.000000e+00  1.099815e-16
16.700000 -6.442329e-02 -6.442329e-02 -6.442329e-02  1.077079e-16  1.077079e-16  0.000000e+00
16.800000 -6.535164e-02 -6.535164e-02 -6.535164e-02  0.000000e+00  1.061778e-16  1.061778e-16
16.900000 -6.587275e-02 -6.587275e-02 -6.587275e-02  0.000000e+00  1.053379e-16  1.053379e-16
17.000000 -6.598529e-02 -6.598529e-02 -6.598529e-02  1.051582e-16  0.000000e+00  1.051582e-16
17.100000 -6.569041e-02 -6.569041e-02 -6.569041e-02  1.056302e-16  2.112605e-16  1.056302e-16
17.200000 -6.499178e-02 -6.499178e-02 -6.499178e-02  0.000000e+00  0.000000e+00  0.000000e+00
17.300000 -6.389554e-02 -6.389554e-02 -6.389554e-02  1.085975e-16  1.085975e-16  0.000000e+00
17.400000 -6.241033e-02 -6.241033e-02 -6.241033e-02  0.000000e+00  1.111818e-16  1.111818e-16
17.500000 -6.054724e-02 -6.054724e-02 -6.054724e-02  5.730149e-17  1.146030e-16  5.730149e-17
17.600000 -5.831975e-02 -5.831975e-02 -5.831975e-02  1.189802e-16  1.189802e-16  0.000000e+00
17.700000 -5.574367e-02 -5.574367e-02 -5.574367e-02  0.000000e+00  0.000000e+00  0.000000e+00
17.800000 -5.283707e-02 -5.283707e-02 -5.283707e-02  1.313262e-16  0.000000e+00  1.313262e-16
17.900000 -4.962014e-02 -4.962014e-02 -4.962014e-02  1.398403e-16  1.398403e-16  0.000000e+00
18.000000 -4.611513e-02 -4.611513e-02 -4.611513e-02  7.523447e-17  7.523447e-17  0.000000e+00
18.100000 -4.234612e-02 -4.234612e-02 -4.234612e-02  0.000000e+00  4.096535e-16  4.096535e-16
18.200000 -3.833898e-02 -3.833898e-02 -3.833898e-02  9.049398e-17  9.049398e-17  1.809880e-16
18.300000 -3.412113e-02 -3.412113e-02 -3.412113e-02  0.000000e+00  2.033606e-16  2.033606e-16
18.400000 -2.972139e-02 -2.972139e-02 -2.972139e-02  0.000000e+00  7.003939e-16  7.003939e-16
18.500000 -2.516979e-02 -2.516979e-02 -2.516979e-02  0.000000e+00  6.202877e-16  6.202877e-16
18.600000 -2.049737e-02 -2.049737e-02 -2.049737e-02  8.463151e-17  8.463151e-17  1.692630e-16
18.700000 -1.573598e-02 -1.573598e-02 -1.573598e-02  2.204786e-16  2.204786e-16  4.409572e-16
18.800000 -1.091804e-02 -1.091804e-02 -1.091804e-02  5.561009e-16  7.944298e-17  4.766579e-16
